#,NameENG,NameFR,Type 1,Type 1 FR,Type 2,Type 2 FR,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
283,Surskit,Arakdo,Bug,Insecte,Water,Eau,269,40,30,32,50,52,65,3,FALSE
284,Masquerain,Maskadra,Bug,Insecte,Flying,Vol,414,70,60,62,80,82,60,3,FALSE
285,Shroomish,Balignon,Grass,Plante,,NA,295,60,40,60,40,60,35,3,FALSE
286,Breloom,Chapignon,Grass,Plante,Fighting,Combat,460,60,130,80,60,60,70,3,FALSE
287,Slakoth,Parecool,Normal,Normal,,NA,280,60,60,60,35,35,30,3,FALSE
288,Vigoroth,Vigoroth,Normal,Normal,,NA,440,80,80,80,55,55,90,3,FALSE
289,Slaking,Monaflèmit,Normal,Normal,,NA,670,150,160,100,95,65,100,3,FALSE
290,Nincada,Ningale,Bug,Insecte,Ground,Sol,266,31,45,90,30,30,40,3,FALSE
291,Ninjask,Ninjask,Bug,Insecte,Flying,Vol,456,61,90,45,50,50,160,3,FALSE
292,Shedinja,Munja,Bug,Insecte,Ghost,Spectre,236,1,90,45,30,30,40,3,FALSE
293,Whismur,Chuchmur,Normal,Normal,,NA,240,64,51,23,51,23,28,3,FALSE
294,Loudred,Ramboum,Normal,Normal,,NA,360,84,71,43,71,43,48,3,FALSE
295,Exploud,Brouhabam,Normal,Normal,,NA,490,104,91,63,91,73,68,3,FALSE
296,Makuhita,Makuhita,Fighting,Combat,,NA,237,72,60,30,20,30,25,3,FALSE
297,Hariyama,Hariyama,Fighting,Combat,,NA,474,144,120,60,40,60,50,3,FALSE
298,Azurill,Azurill,Normal,Normal,Fairy,Fée,190,50,20,40,20,40,20,3,FALSE
299,Nosepass,Tarinor,Rock,Roche,,NA,375,30,45,135,45,90,30,3,FALSE
300,Skitty,Skitty,Normal,Normal,,NA,260,50,45,45,35,35,50,3,FALSE
301,Delcatty,Delcatty,Normal,Normal,,NA,380,70,65,65,55,55,70,3,FALSE
302,Sableye,Ténéfix,Dark,Ténèbres,Ghost,Spectre,380,50,75,75,65,65,50,3,FALSE
303,Mawile,Mysdibule,Steel,Acier,Fairy,Fée,380,50,85,85,55,55,50,3,FALSE
304,Aron,Galekid,Steel,Acier,Rock,Roche,330,50,70,100,40,40,30,3,FALSE
305,Lairon,Galegon,Steel,Acier,Rock,Roche,430,60,90,140,50,50,40,3,FALSE
306,Aggron,Galeking,Steel,Acier,Rock,Roche,530,70,110,180,60,60,50,3,FALSE
307,Meditite,Méditikka,Fighting,Combat,Psychic,Psy,280,30,40,55,40,55,60,3,FALSE
308,Medicham,Charmina,Fighting,Combat,Psychic,Psy,410,60,60,75,60,75,80,3,FALSE
309,Electrike,Dynavolt,Electric,Électrik,,NA,295,40,45,40,65,40,65,3,FALSE
310,Manectric,Élecsprint,Electric,Électrik,,NA,475,70,75,60,105,60,105,3,FALSE
311,Plusle,Posipi,Electric,Électrik,,NA,405,60,50,40,85,75,95,3,FALSE
312,Minun,Négapi,Electric,Électrik,,NA,405,60,40,50,75,85,95,3,FALSE
313,Volbeat,Muciole,Bug,Insecte,,NA,400,65,73,55,47,75,85,3,FALSE
314,Illumise,Lumivole,Bug,Insecte,,NA,400,65,47,55,73,75,85,3,FALSE
315,Roselia,Rosélia,Grass,Plante,Poison,Poison,400,50,60,45,100,80,65,3,FALSE
316,Gulpin,Gloupti,Poison,Poison,,NA,302,70,43,53,43,53,40,3,FALSE
317,Swalot,Avaltout,Poison,Poison,,NA,467,100,73,83,73,83,55,3,FALSE
318,Carvanha,Carvanha,Water,Eau,Dark,Ténèbres,305,45,90,20,65,20,65,3,FALSE
319,Sharpedo,Sharpedo,Water,Eau,Dark,Ténèbres,460,70,120,40,95,40,95,3,FALSE
320,Wailmer,Wailmer,Water,Eau,,NA,400,130,70,35,70,35,60,3,FALSE
321,Wailord,Wailord,Water,Eau,,NA,500,170,90,45,90,45,60,3,FALSE
322,Numel,Chamallot,Fire,Feu,Ground,Sol,305,60,60,40,65,45,35,3,FALSE
323,Camerupt,Camérupt,Fire,Feu,Ground,Sol,460,70,100,70,105,75,40,3,FALSE
324,Torkoal,Chartor,Fire,Feu,,NA,470,70,85,140,85,70,20,3,FALSE
325,Spoink,Spoink,Psychic,Psy,,NA,330,60,25,35,70,80,60,3,FALSE
326,Grumpig,Groret,Psychic,Psy,,NA,470,80,45,65,90,110,80,3,FALSE
327,Spinda,Spinda,Normal,Normal,,NA,360,60,60,60,60,60,60,3,FALSE
328,Trapinch,Kraknoix,Ground,Sol,,NA,290,45,100,45,45,45,10,3,FALSE
329,Vibrava,Vibraninf,Ground,Sol,Dragon,Dragon,340,50,70,50,50,50,70,3,FALSE
330,Flygon,Libégon,Ground,Sol,Dragon,Dragon,520,80,100,80,80,80,100,3,FALSE
331,Cacnea,Cacnea,Grass,Plante,,NA,335,50,85,40,85,40,35,3,FALSE
332,Cacturne,Cacturne,Grass,Plante,Dark,Ténèbres,475,70,115,60,115,60,55,3,FALSE
333,Swablu,Tylton,Normal,Normal,Flying,Vol,310,45,40,60,40,75,50,3,FALSE
334,Altaria,Altaria,Dragon,Dragon,Flying,Vol,490,75,70,90,70,105,80,3,FALSE
335,Zangoose,Mangriff,Normal,Normal,,NA,458,73,115,60,60,60,90,3,FALSE
336,Seviper,Séviper,Poison,Poison,,NA,458,73,100,60,100,60,65,3,FALSE
337,Lunatone,Séléroc,Rock,Roche,Psychic,Psy,440,70,55,65,95,85,70,3,FALSE
338,Solrock,Solaroc,Rock,Roche,Psychic,Psy,440,70,95,85,55,65,70,3,FALSE
339,Barboach,Barloche,Water,Eau,Ground,Sol,288,50,48,43,46,41,60,3,FALSE
340,Whiscash,Barbicha,Water,Eau,Ground,Sol,468,110,78,73,76,71,60,3,FALSE
341,Corphish,Écrapince,Water,Eau,,NA,308,43,80,65,50,35,35,3,FALSE
342,Crawdaunt,Colhomard,Water,Eau,Dark,Ténèbres,468,63,120,85,90,55,55,3,FALSE
343,Baltoy,Balbuto,Ground,Sol,Psychic,Psy,300,40,40,55,40,70,55,3,FALSE
344,Claydol,Kaorine,Ground,Sol,Psychic,Psy,500,60,70,105,70,120,75,3,FALSE
345,Lileep,Lilia,Rock,Roche,Grass,Plante,355,66,41,77,61,87,23,3,FALSE
346,Cradily,Vacilys,Rock,Roche,Grass,Plante,495,86,81,97,81,107,43,3,FALSE
347,Anorith,Anorith,Rock,Roche,Bug,Insecte,355,45,95,50,40,50,75,3,FALSE
348,Armaldo,Armaldo,Rock,Roche,Bug,Insecte,495,75,125,100,70,80,45,3,FALSE
349,Feebas,Barpau,Water,Eau,,NA,200,20,15,20,10,55,80,3,FALSE
350,Milotic,Milobellus,Water,Eau,,NA,540,95,60,79,100,125,81,3,FALSE
351,Castform,Morphéo,Normal,Normal,,NA,420,70,70,70,70,70,70,3,FALSE
352,Kecleon,Kecleon,Normal,Normal,,NA,440,60,90,70,60,120,40,3,FALSE
353,Shuppet,Polichombr,Ghost,Spectre,,NA,295,44,75,35,63,33,45,3,FALSE
354,Banette,Branette,Ghost,Spectre,,NA,455,64,115,65,83,63,65,3,FALSE
355,Duskull,Skelénox,Ghost,Spectre,,NA,295,20,40,90,30,90,25,3,FALSE
356,Dusclops,Téraclope,Ghost,Spectre,,NA,455,40,70,130,60,130,25,3,FALSE
357,Tropius,Tropius,Grass,Plante,Flying,Vol,460,99,68,83,72,87,51,3,FALSE
358,Chimecho,Éoko,Psychic,Psy,,NA,425,65,50,70,95,80,65,3,FALSE
359,Absol,Absol,Dark,Ténèbres,,NA,465,65,130,60,75,60,75,3,FALSE
360,Wynaut,Okéoké,Psychic,Psy,,NA,260,95,23,48,23,48,23,3,FALSE
361,Snorunt,Stalgamin,Ice,Glace,,NA,300,50,50,50,50,50,50,3,FALSE
362,Glalie,Oniglali,Ice,Glace,,NA,480,80,80,80,80,80,80,3,FALSE
363,Spheal,Obalie,Ice,Glace,Water,Eau,290,70,40,50,55,50,25,3,FALSE
364,Sealeo,Phogleur,Ice,Glace,Water,Eau,410,90,60,70,75,70,45,3,FALSE
365,Walrein,Kaimorse,Ice,Glace,Water,Eau,530,110,80,90,95,90,65,3,FALSE
366,Clamperl,Coquiperl,Water,Eau,,NA,345,35,64,85,74,55,32,3,FALSE
367,Huntail,Serpang,Water,Eau,,NA,485,55,104,105,94,75,52,3,FALSE
368,Gorebyss,Rosabyss,Water,Eau,,NA,485,55,84,105,114,75,52,3,FALSE
369,Relicanth,Relicanth,Water,Eau,Rock,Roche,485,100,90,130,45,65,55,3,FALSE
370,Luvdisc,Lovdisc,Water,Eau,,NA,330,43,30,55,40,65,97,3,FALSE
371,Bagon,Draby,Dragon,Dragon,,NA,300,45,75,60,40,30,50,3,FALSE
372,Shelgon,Drackhaus,Dragon,Dragon,,NA,420,65,95,100,60,50,50,3,FALSE
373,Salamence,Drattak,Dragon,Dragon,Flying,Vol,600,95,135,80,110,80,100,3,FALSE
374,Beldum,Terhal,Steel,Acier,Psychic,Psy,300,40,55,80,35,60,30,3,FALSE
375,Metang,Métang,Steel,Acier,Psychic,Psy,420,60,75,100,55,80,50,3,FALSE
376,Metagross,Métalosse,Steel,Acier,Psychic,Psy,600,80,135,130,95,90,70,3,FALSE
377,Regirock,Regirock,Rock,Roche,,NA,580,80,100,200,50,100,50,3,TRUE
378,Regice,Regice,Ice,Glace,,NA,580,80,50,100,100,200,50,3,TRUE
379,Registeel,Registeel,Steel,Acier,,NA,580,80,75,150,75,150,50,3,TRUE
380,Latias,Latias,Dragon,Dragon,Psychic,Psy,600,80,80,90,110,130,110,3,TRUE
381,Latios,Latios,Dragon,Dragon,Psychic,Psy,600,80,90,80,130,110,110,3,TRUE
382,Kyogre,Kyogre,Water,Eau,,NA,670,100,100,90,150,140,90,3,TRUE
383,Groudon,Groudon,Ground,Sol,,NA,670,100,150,140,100,90,90,3,TRUE
384,Rayquaza,Rayquaza,Dragon,Dragon,Flying,Vol,680,105,150,90,150,90,95,3,TRUE
385,Jirachi,Jirachi,Steel,Acier,Psychic,Psy,600,100,100,100,100,100,100,3,TRUE
386,DeoxysNormal Forme,Deoxys,Psychic,Psy,,NA,600,50,150,50,150,50,150,3,TRUE
387,Turtwig,Tortipouss,Grass,Plante,,NA,318,55,68,64,45,55,31,4,FALSE
388,Grotle,Boskara,Grass,Plante,,NA,405,75,89,85,55,65,36,4,FALSE
389,Torterra,Torterra,Grass,Plante,Ground,Sol,525,95,109,105,75,85,56,4,FALSE
390,Chimchar,Ouisticram,Fire,Feu,,NA,309,44,58,44,58,44,61,4,FALSE
391,Monferno,Chimpenfeu,Fire,Feu,Fighting,Combat,405,64,78,52,78,52,81,4,FALSE
392,Infernape,Simiabraz,Fire,Feu,Fighting,Combat,534,76,104,71,104,71,108,4,FALSE
393,Piplup,Tiplouf,Water,Eau,,NA,314,53,51,53,61,56,40,4,FALSE
394,Prinplup,Prinplouf,Water,Eau,,NA,405,64,66,68,81,76,50,4,FALSE
395,Empoleon,Pingoléon,Water,Eau,Steel,Acier,530,84,86,88,111,101,60,4,FALSE
396,Starly,Étourmi,Normal,Normal,Flying,Vol,245,40,55,30,30,30,60,4,FALSE
397,Staravia,Étourvol,Normal,Normal,Flying,Vol,340,55,75,50,40,40,80,4,FALSE
398,Staraptor,Étouraptor,Normal,Normal,Flying,Vol,485,85,120,70,50,60,100,4,FALSE
399,Bidoof,Keunotor,Normal,Normal,,NA,250,59,45,40,35,40,31,4,FALSE
400,Bibarel,Castorno,Normal,Normal,Water,Eau,410,79,85,60,55,60,71,4,FALSE
401,Kricketot,Crikzik,Bug,Insecte,,NA,194,37,25,41,25,41,25,4,FALSE
402,Kricketune,Mélokrik,Bug,Insecte,,NA,384,77,85,51,55,51,65,4,FALSE
403,Shinx,Lixy,Electric,Électrik,,NA,263,45,65,34,40,34,45,4,FALSE
404,Luxio,Luxio,Electric,Électrik,,NA,363,60,85,49,60,49,60,4,FALSE
405,Luxray,Luxray,Electric,Électrik,,NA,523,80,120,79,95,79,70,4,FALSE
406,Budew,Rozbouton,Grass,Plante,Poison,Poison,280,40,30,35,50,70,55,4,FALSE
407,Roserade,Roserade,Grass,Plante,Poison,Poison,515,60,70,65,125,105,90,4,FALSE
408,Cranidos,Kranidos,Rock,Roche,,NA,350,67,125,40,30,30,58,4,FALSE
409,Rampardos,Charkos,Rock,Roche,,NA,495,97,165,60,65,50,58,4,FALSE
410,Shieldon,Dinoclier,Rock,Roche,Steel,Acier,350,30,42,118,42,88,30,4,FALSE
411,Bastiodon,Bastiodon,Rock,Roche,Steel,Acier,495,60,52,168,47,138,30,4,FALSE
412,Burmy,Cheniti,Bug,Insecte,,NA,224,40,29,45,29,45,36,4,FALSE
413,WormadamPlant Cloak,Cheniselle,Bug,Insecte,Grass,Plante,424,60,59,85,79,105,36,4,FALSE
414,Mothim,Papilord,Bug,Insecte,Flying,Vol,424,70,94,50,94,50,66,4,FALSE
415,Combee,Apitrini,Bug,Insecte,Flying,Vol,244,30,30,42,30,42,70,4,FALSE
416,Vespiquen,Apireine,Bug,Insecte,Flying,Vol,474,70,80,102,80,102,40,4,FALSE
417,Pachirisu,Pachirisu,Electric,Électrik,,NA,405,60,45,70,45,90,95,4,FALSE
418,Buizel,Mustébouée,Water,Eau,,NA,330,55,65,35,60,30,85,4,FALSE
419,Floatzel,Mustéflott,Water,Eau,,NA,495,85,105,55,85,50,115,4,FALSE
420,Cherubi,Ceribou,Grass,Plante,,NA,275,45,35,45,62,53,35,4,FALSE
421,Cherrim,Ceriflor,Grass,Plante,,NA,450,70,60,70,87,78,85,4,FALSE
422,Shellos,Sancoki,Water,Eau,,NA,325,76,48,48,57,62,34,4,FALSE
423,Gastrodon,Tritosor,Water,Eau,Ground,Sol,475,111,83,68,92,82,39,4,FALSE
424,Ambipom,Capidextre,Normal,Normal,,NA,482,75,100,66,60,66,115,4,FALSE
425,Drifloon,Baudrive,Ghost,Spectre,Flying,Vol,348,90,50,34,60,44,70,4,FALSE
426,Drifblim,Grodrive,Ghost,Spectre,Flying,Vol,498,150,80,44,90,54,80,4,FALSE
427,Buneary,Laporeille,Normal,Normal,,NA,350,55,66,44,44,56,85,4,FALSE
428,Lopunny,Lockpin,Normal,Normal,,NA,480,65,76,84,54,96,105,4,FALSE
429,Mismagius,Magirêve,Ghost,Spectre,,NA,495,60,60,60,105,105,105,4,FALSE
430,Honchkrow,Corboss,Dark,Ténèbres,Flying,Vol,505,100,125,52,105,52,71,4,FALSE
431,Glameow,Chaglam,Normal,Normal,,NA,310,49,55,42,42,37,85,4,FALSE
432,Purugly,Chaffreux,Normal,Normal,,NA,452,71,82,64,64,59,112,4,FALSE
433,Chingling,Korillon,Psychic,Psy,,NA,285,45,30,50,65,50,45,4,FALSE
434,Stunky,Moufouette,Poison,Poison,Dark,Ténèbres,329,63,63,47,41,41,74,4,FALSE
435,Skuntank,Moufflair,Poison,Poison,Dark,Ténèbres,479,103,93,67,71,61,84,4,FALSE
436,Bronzor,Archéomire,Steel,Acier,Psychic,Psy,300,57,24,86,24,86,23,4,FALSE
437,Bronzong,Archéodong,Steel,Acier,Psychic,Psy,500,67,89,116,79,116,33,4,FALSE
438,Bonsly,Manzaï,Rock,Roche,,NA,290,50,80,95,10,45,10,4,FALSE
439,Mime Jr.,Mime Jr.,Psychic,Psy,Fairy,Fée,310,20,25,45,70,90,60,4,FALSE
440,Happiny,Ptiravi,Normal,Normal,,NA,220,100,5,5,15,65,30,4,FALSE
441,Chatot,Pijako,Normal,Normal,Flying,Vol,411,76,65,45,92,42,91,4,FALSE
442,Spiritomb,Spiritomb,Ghost,Spectre,Dark,Ténèbres,485,50,92,108,92,108,35,4,FALSE
443,Gible,Griknot,Dragon,Dragon,Ground,Sol,300,58,70,45,40,45,42,4,FALSE
444,Gabite,Carmache,Dragon,Dragon,Ground,Sol,410,68,90,65,50,55,82,4,FALSE
445,Garchomp,Carchacrok,Dragon,Dragon,Ground,Sol,600,108,130,95,80,85,102,4,FALSE
446,Munchlax,Goinfrex,Normal,Normal,,NA,390,135,85,40,40,85,5,4,FALSE
447,Riolu,Riolu,Fighting,Combat,,NA,285,40,70,40,35,40,60,4,FALSE
448,Lucario,Lucario,Fighting,Combat,Steel,Acier,525,70,110,70,115,70,90,4,FALSE
449,Hippopotas,Hippopotas,Ground,Sol,,NA,330,68,72,78,38,42,32,4,FALSE
450,Hippowdon,Hippodocus,Ground,Sol,,NA,525,108,112,118,68,72,47,4,FALSE
451,Skorupi,Rapion,Poison,Poison,Bug,Insecte,330,40,50,90,30,55,65,4,FALSE
452,Drapion,Drascore,Poison,Poison,Dark,Ténèbres,500,70,90,110,60,75,95,4,FALSE
453,Croagunk,Cradopaud,Poison,Poison,Fighting,Combat,300,48,61,40,61,40,50,4,FALSE
454,Toxicroak,Coatox,Poison,Poison,Fighting,Combat,490,83,106,65,86,65,85,4,FALSE
455,Carnivine,Vortente,Grass,Plante,,NA,454,74,100,72,90,72,46,4,FALSE
456,Finneon,Écayon,Water,Eau,,NA,330,49,49,56,49,61,66,4,FALSE
457,Lumineon,Luminéon,Water,Eau,,NA,460,69,69,76,69,86,91,4,FALSE
458,Mantyke,Babimanta,Water,Eau,Flying,Vol,345,45,20,50,60,120,50,4,FALSE
459,Snover,Blizzi,Grass,Plante,Ice,Glace,334,60,62,50,62,60,40,4,FALSE
460,Abomasnow,Blizzaroi,Grass,Plante,Ice,Glace,494,90,92,75,92,85,60,4,FALSE
461,Weavile,Dimoret,Dark,Ténèbres,Ice,Glace,510,70,120,65,45,85,125,4,FALSE
462,Magnezone,Magnézone,Electric,Électrik,Steel,Acier,535,70,70,115,130,90,60,4,FALSE
463,Lickilicky,Coudlangue,Normal,Normal,,NA,515,110,85,95,80,95,50,4,FALSE
464,Rhyperior,Rhinastoc,Ground,Sol,Rock,Roche,535,115,140,130,55,55,40,4,FALSE
465,Tangrowth,Bouldeneu,Grass,Plante,,NA,535,100,100,125,110,50,50,4,FALSE
466,Electivire,Élekable,Electric,Électrik,,NA,540,75,123,67,95,85,95,4,FALSE
467,Magmortar,Maganon,Fire,Feu,,NA,540,75,95,67,125,95,83,4,FALSE
468,Togekiss,Togekiss,Fairy,Fée,Flying,Vol,545,85,50,95,120,115,80,4,FALSE
469,Yanmega,Yanmega,Bug,Insecte,Flying,Vol,515,86,76,86,116,56,95,4,FALSE
470,Leafeon,Phyllali,Grass,Plante,,NA,525,65,110,130,60,65,95,4,FALSE
471,Glaceon,Givrali,Ice,Glace,,NA,525,65,60,110,130,95,65,4,FALSE
472,Gliscor,Scorvol,Ground,Sol,Flying,Vol,510,75,95,125,45,75,95,4,FALSE
473,Mamoswine,Mammochon,Ice,Glace,Ground,Sol,530,110,130,80,70,60,80,4,FALSE
474,Porygon-Z,Porygon-Z,Normal,Normal,,NA,535,85,80,70,135,75,90,4,FALSE
475,Gallade,Gallame,Psychic,Psy,Fighting,Combat,518,68,125,65,65,115,80,4,FALSE
476,Probopass,Tarinorme,Rock,Roche,Steel,Acier,525,60,55,145,75,150,40,4,FALSE
477,Dusknoir,Noctunoir,Ghost,Spectre,,NA,525,45,100,135,65,135,45,4,FALSE
478,Froslass,Momartik,Ice,Glace,Ghost,Spectre,480,70,80,70,80,70,110,4,FALSE
479,Rotom,Motisma,Electric,Électrik,Ghost,Spectre,440,50,50,77,95,77,91,4,FALSE
480,Uxie,Créhelf,Psychic,Psy,,NA,580,75,75,130,75,130,95,4,TRUE
481,Mesprit,Créfollet,Psychic,Psy,,NA,580,80,105,105,105,105,80,4,TRUE
482,Azelf,Créfadet,Psychic,Psy,,NA,580,75,125,70,125,70,115,4,TRUE
483,Dialga,Dialga,Steel,Acier,Dragon,Dragon,680,100,120,120,150,100,90,4,TRUE
484,Palkia,Palkia,Water,Eau,Dragon,Dragon,680,90,120,100,150,120,100,4,TRUE
485,Heatran,Heatran,Fire,Feu,Steel,Acier,600,91,90,106,130,106,77,4,TRUE
486,Regigigas,Regigigas,Normal,Normal,,NA,670,110,160,110,80,110,100,4,TRUE
487,GiratinaAltered Forme,Giratina,Ghost,Spectre,Dragon,Dragon,680,150,100,120,100,120,90,4,TRUE
488,Cresselia,Cresselia,Psychic,Psy,,NA,600,120,70,120,75,130,85,4,FALSE
489,Phione,Phione,Water,Eau,,NA,480,80,80,80,80,80,80,4,FALSE
490,Manaphy,Manaphy,Water,Eau,,NA,600,100,100,100,100,100,100,4,FALSE
491,Darkrai,Darkrai,Dark,Ténèbres,,NA,600,70,90,90,135,90,125,4,TRUE
492,ShayminLand Forme,Shaymin,Grass,Plante,,NA,600,100,100,100,100,100,100,4,TRUE
493,Arceus,Arceus,Normal,Normal,,NA,720,120,120,120,120,120,120,4,TRUE
494,Victini,Victini,Psychic,Psy,Fire,Feu,600,100,100,100,100,100,100,5,TRUE
495,Snivy,Vipélierre,Grass,Plante,,NA,308,45,45,55,45,55,63,5,FALSE
496,Servine,Lianaja,Grass,Plante,,NA,413,60,60,75,60,75,83,5,FALSE
497,Serperior,Majaspic,Grass,Plante,,NA,528,75,75,95,75,95,113,5,FALSE
498,Tepig,Gruikui,Fire,Feu,,NA,308,65,63,45,45,45,45,5,FALSE
499,Pignite,Grotichon,Fire,Feu,Fighting,Combat,418,90,93,55,70,55,55,5,FALSE
500,Emboar,Roitiflam,Fire,Feu,Fighting,Combat,528,110,123,65,100,65,65,5,FALSE
501,Oshawott,Moustillon,Water,Eau,,NA,308,55,55,45,63,45,45,5,FALSE
502,Dewott,Mateloutre,Water,Eau,,NA,413,75,75,60,83,60,60,5,FALSE
503,Samurott,Clamiral,Water,Eau,,NA,528,95,100,85,108,70,70,5,FALSE
504,Patrat,Ratentif,Normal,Normal,,NA,255,45,55,39,35,39,42,5,FALSE
505,Watchog,Miradar,Normal,Normal,,NA,420,60,85,69,60,69,77,5,FALSE
506,Lillipup,Ponchiot,Normal,Normal,,NA,275,45,60,45,25,45,55,5,FALSE
507,Herdier,Ponchien,Normal,Normal,,NA,370,65,80,65,35,65,60,5,FALSE
508,Stoutland,Mastouffe,Normal,Normal,,NA,500,85,110,90,45,90,80,5,FALSE
509,Purrloin,Chacripan,Dark,Ténèbres,,NA,281,41,50,37,50,37,66,5,FALSE
510,Liepard,Léopardus,Dark,Ténèbres,,NA,446,64,88,50,88,50,106,5,FALSE
511,Pansage,Feuillajou,Grass,Plante,,NA,316,50,53,48,53,48,64,5,FALSE
512,Simisage,Feuiloutan,Grass,Plante,,NA,498,75,98,63,98,63,101,5,FALSE
513,Pansear,Flamajou,Fire,Feu,,NA,316,50,53,48,53,48,64,5,FALSE
514,Simisear,Flamoutan,Fire,Feu,,NA,498,75,98,63,98,63,101,5,FALSE
515,Panpour,Flotajou,Water,Eau,,NA,316,50,53,48,53,48,64,5,FALSE
516,Simipour,Flotoutan,Water,Eau,,NA,498,75,98,63,98,63,101,5,FALSE
517,Munna,Munna,Psychic,Psy,,NA,292,76,25,45,67,55,24,5,FALSE
518,Musharna,Mushana,Psychic,Psy,,NA,487,116,55,85,107,95,29,5,FALSE
519,Pidove,Poichigeon,Normal,Normal,Flying,Vol,264,50,55,50,36,30,43,5,FALSE
520,Tranquill,Colombeau,Normal,Normal,Flying,Vol,358,62,77,62,50,42,65,5,FALSE
521,Unfezant,Déflaisan,Normal,Normal,Flying,Vol,488,80,115,80,65,55,93,5,FALSE
522,Blitzle,Zébibron,Electric,Électrik,,NA,295,45,60,32,50,32,76,5,FALSE
523,Zebstrika,Zéblitz,Electric,Électrik,,NA,497,75,100,63,80,63,116,5,FALSE
524,Roggenrola,Nodulithe,Rock,Roche,,NA,280,55,75,85,25,25,15,5,FALSE
525,Boldore,Géolithe,Rock,Roche,,NA,390,70,105,105,50,40,20,5,FALSE
526,Gigalith,Gigalithe,Rock,Roche,,NA,515,85,135,130,60,80,25,5,FALSE
527,Woobat,Chovsourir,Psychic,Psy,Flying,Vol,313,55,45,43,55,43,72,5,FALSE
528,Swoobat,Rhinolove,Psychic,Psy,Flying,Vol,425,67,57,55,77,55,114,5,FALSE
529,Drilbur,Rototaupe,Ground,Sol,,NA,328,60,85,40,30,45,68,5,FALSE
530,Excadrill,Minotaupe,Ground,Sol,Steel,Acier,508,110,135,60,50,65,88,5,FALSE
531,Audino,Nanméouïe,Normal,Normal,,NA,445,103,60,86,60,86,50,5,FALSE
532,Timburr,Charpenti,Fighting,Combat,,NA,305,75,80,55,25,35,35,5,FALSE
533,Gurdurr,Ouvrifier,Fighting,Combat,,NA,405,85,105,85,40,50,40,5,FALSE
534,Conkeldurr,Bétochef,Fighting,Combat,,NA,505,105,140,95,55,65,45,5,FALSE
535,Tympole,Tritonde,Water,Eau,,NA,294,50,50,40,50,40,64,5,FALSE
536,Palpitoad,Batracné,Water,Eau,Ground,Sol,384,75,65,55,65,55,69,5,FALSE
537,Seismitoad,Crapustule,Water,Eau,Ground,Sol,509,105,95,75,85,75,74,5,FALSE
538,Throh,Judokrak,Fighting,Combat,,NA,465,120,100,85,30,85,45,5,FALSE
539,Sawk,Karaclée,Fighting,Combat,,NA,465,75,125,75,30,75,85,5,FALSE
540,Sewaddle,Larveyette,Bug,Insecte,Grass,Plante,310,45,53,70,40,60,42,5,FALSE
541,Swadloon,Couverdure,Bug,Insecte,Grass,Plante,380,55,63,90,50,80,42,5,FALSE
542,Leavanny,Manternel,Bug,Insecte,Grass,Plante,500,75,103,80,70,80,92,5,FALSE
543,Venipede,Venipatte,Bug,Insecte,Poison,Poison,260,30,45,59,30,39,57,5,FALSE
544,Whirlipede,Scobolide,Bug,Insecte,Poison,Poison,360,40,55,99,40,79,47,5,FALSE
545,Scolipede,Brutapode,Bug,Insecte,Poison,Poison,485,60,100,89,55,69,112,5,FALSE
546,Cottonee,Doudouvet,Grass,Plante,Fairy,Fée,280,40,27,60,37,50,66,5,FALSE
547,Whimsicott,Farfaduvet,Grass,Plante,Fairy,Fée,480,60,67,85,77,75,116,5,FALSE
548,Petilil,Chlorobule,Grass,Plante,,NA,280,45,35,50,70,50,30,5,FALSE
549,Lilligant,Fragilady,Grass,Plante,,NA,480,70,60,75,110,75,90,5,FALSE
550,Basculin,Bargantua,Water,Eau,,NA,460,70,92,65,80,55,98,5,FALSE
551,Sandile,Mascaïman,Ground,Sol,Dark,Ténèbres,292,50,72,35,35,35,65,5,FALSE
552,Krokorok,Escroco,Ground,Sol,Dark,Ténèbres,351,60,82,45,45,45,74,5,FALSE
553,Krookodile,Crocorible,Ground,Sol,Dark,Ténèbres,519,95,117,80,65,70,92,5,FALSE
554,Darumaka,Darumarond,Fire,Feu,,NA,315,70,90,45,15,45,50,5,FALSE
555,DarmanitanStandard Mode,DarmanitanStandard Mode,Fire,Feu,,NA,480,105,140,55,30,55,95,5,FALSE
556,Maractus,Maracachi,Grass,Plante,,NA,461,75,86,67,106,67,60,5,FALSE
557,Dwebble,Crabicoque,Bug,Insecte,Rock,Roche,325,50,65,85,35,35,55,5,FALSE
558,Crustle,Crabaraque,Bug,Insecte,Rock,Roche,475,70,95,125,65,75,45,5,FALSE
559,Scraggy,Baggiguane,Dark,Ténèbres,Fighting,Combat,348,50,75,70,35,70,48,5,FALSE
560,Scrafty,Baggaïd,Dark,Ténèbres,Fighting,Combat,488,65,90,115,45,115,58,5,FALSE
561,Sigilyph,Cryptéro,Psychic,Psy,Flying,Vol,490,72,58,80,103,80,97,5,FALSE
562,Yamask,Tutafeh,Ghost,Spectre,,NA,303,38,30,85,55,65,30,5,FALSE
563,Cofagrigus,Tutankafer,Ghost,Spectre,,NA,483,58,50,145,95,105,30,5,FALSE
564,Tirtouga,Carapagos,Water,Eau,Rock,Roche,355,54,78,103,53,45,22,5,FALSE
565,Carracosta,Mégapagos,Water,Eau,Rock,Roche,495,74,108,133,83,65,32,5,FALSE
